"Drug_name","OR","95.CI","Pvalue","ac"
"OXYCODONE, ZOLEDRONATE, LEVOFLOXACIN",19.51,"(17.16, 22.16)","4.89e-315",136860
"PAMIDRONATE, ACETAMINOPHEN, GABAPENTIN",18.32,"(16.14, 20.78)","1.27e-308",136860
"ACETAMINOPHEN, ZOLEDRONATE, LEVOFLOXACIN",17.01,"(15.09, 19.16)","0.00e+00",136860
"OXYCODONE, ZOLEDRONATE, GABAPENTIN",16.84,"(15.07, 18.8)","0.00e+00",136860
"ZOLEDRONATE, DEXAMETHASONE, GABAPENTIN",16.75,"(14.77, 18.97)","9.31e-293",136860
"PAMIDRONATE, ZOLEDRONATE, ZOLPIDEM",15.92,"(14.05, 18.02)","4.63e-282",136860
"PAMIDRONATE, ZOLEDRONATE, GABAPENTIN",15.7,"(14.01, 17.57)","0.00e+00",136860
"ACETAMINOPHEN, ZOLEDRONATE, GABAPENTIN",15.53,"(13.93, 17.28)","0.00e+00",136860
"PAMIDRONATE, ACETAMINOPHEN, FUROSEMIDE",14.98,"(13.11, 17.1)","3.41e-237",136860
"PAMIDRONATE, ACETAMINOPHEN, WARFARIN",14.85,"(13.03, 16.88)","3.54e-247",136860
"ACETAMINOPHEN, ZOLEDRONATE, IBUPROFEN",14.6,"(12.78, 16.65)","2.03e-236",136860
"OXYCODONE, ZOLEDRONATE, ZOLPIDEM",14.44,"(12.8, 16.27)","4.02e-283",136860
"PAMIDRONATE, ZOLEDRONATE, EPOETIN ALFA",14.36,"(12.56, 16.41)","1.58e-226",136860
"PAMIDRONATE, ZOLEDRONATE, FUROSEMIDE",14.27,"(12.67, 16.05)","2.99e-286",136860
"ACETAMINOPHEN, ZOLEDRONATE, CELECOXIB",14.21,"(12.48, 16.16)","8.49e-241",136860
"OMEPRAZOLE, PAMIDRONATE, ACETAMINOPHEN",14.19,"(12.45, 16.14)","1.31e-238",136860
"ZOLEDRONATE, FUROSEMIDE, HYDROCODONE",14.08,"(12.33, 16.05)","4.95e-229",136860
"LORAZEPAM, PAMIDRONATE, ZOLEDRONATE",13.93,"(12.34, 15.69)","1.25e-273",136860
"OXYCODONE, ZOLEDRONATE, FUROSEMIDE",13.78,"(12.27, 15.46)","1.02e-292",136860
"ZOLEDRONATE, DEXAMETHASONE, LEVOFLOXACIN",13.78,"(12.05, 15.74)","4.36e-220",136860
"ACETAMINOPHEN, ZOLEDRONATE, CHLORHEXIDINE",13.56,"(11.98, 15.33)","2.36e-256",136860
"ZOLEDRONATE, ZOLPIDEM, HYDROCODONE",13.51,"(11.84, 15.4)","3.42e-223",136860
"OXYCODONE, PAMIDRONATE, HYDROCODONE",13.36,"(11.71, 15.21)","1.56e-224",136860
"OMEPRAZOLE, PAMIDRONATE, ZOLEDRONATE",13.36,"(11.82, 15.08)","9.75e-256",136860
"PAMIDRONATE, ACETAMINOPHEN, HYDROCODONE",13.31,"(12.06, 14.68)","0.00e+00",136860
"PROCHLORPERAZINE, ACETAMINOPHEN, ZOLEDRONATE",13.2,"(11.66, 14.92)","8.62e-248",136860
"MORPHINE, OXYCODONE, ZOLEDRONATE",13.07,"(11.61, 14.69)","2.89e-272",136860
"OXYCODONE, PAMIDRONATE, DEXAMETHASONE",12.99,"(11.48, 14.68)","4.49e-247",136860
"PAMIDRONATE, ZOLEDRONATE, HYDROCODONE",12.98,"(11.66, 14.45)","2.32e-321",136860
"ACETAMINOPHEN, GABAPENTIN, LEVOFLOXACIN",12.84,"(11.2, 14.7)","2.28e-200",136860
"AMOXICILLIN, PAMIDRONATE, ZOLEDRONATE",12.81,"(11.25, 14.57)","7.76e-222",136860
"ACETAMINOPHEN, CHLORHEXIDINE, HYDROCODONE",12.75,"(11.13, 14.58)","3.38e-202",136860
"LORAZEPAM, OXYCODONE, ZOLEDRONATE",12.73,"(11.29, 14.34)","5.15e-256",136860
"OXYCODONE, ZOLEDRONATE, HYDROCODONE",12.66,"(11.41, 14.02)","0.00e+00",136860
"OXYCODONE, PROCHLORPERAZINE, ZOLEDRONATE",12.64,"(11.12, 14.35)","1.77e-223",136860
"LORAZEPAM, ACETAMINOPHEN, ZOLEDRONATE",12.59,"(11.26, 14.08)","1.51e-290",136860
"OMEPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE",12.57,"(11.33, 13.93)","0.00e+00",136860
"ZOLEDRONATE, ZOLPIDEM, DEXAMETHASONE",12.46,"(10.87, 14.27)","1.73e-195",136860
"PAMIDRONATE, ACETAMINOPHEN, FENTANYL",12.46,"(10.94, 14.17)","8.15e-217",136860
"LORAZEPAM, ZOLEDRONATE, DEXAMETHASONE",12.38,"(10.91, 14.03)","1.05e-226",136860
"ACETAMINOPHEN, ZOLEDRONATE, ZOLPIDEM",12.36,"(11.04, 13.82)","1.21e-284",136860
"ZOLEDRONATE, FENTANYL, HYDROCODONE",12.35,"(10.94, 13.92)","2.75e-248",136860
"PAMIDRONATE, WARFARIN, ZOLEDRONATE",12.31,"(10.99, 13.76)","7.35e-281",136860
"OMEPRAZOLE, OXYCODONE, ZOLEDRONATE",12.26,"(10.93, 13.74)","2.22e-270",136860
"MORPHINE, ZOLEDRONATE, HYDROCODONE",12.22,"(10.63, 14.01)","6.74e-188",136860
"PAMIDRONATE, ACETAMINOPHEN, ZOLEDRONATE",12.19,"(11.2, 13.27)","0.00e+00",136860
"PAMIDRONATE, ACETAMINOPHEN, DEXAMETHASONE",12.11,"(10.81, 13.54)","1.25e-276",136860
"ACETAMINOPHEN, ZOLEDRONATE, CIPROFLOXACIN",12.07,"(10.5, 13.85)","3.02e-184",136860
"OXYCODONE, PAMIDRONATE, ACETAMINOPHEN",12.05,"(10.9, 13.31)","0.00e+00",136860
"PROCHLORPERAZINE, ZOLEDRONATE, DEXAMETHASONE",11.93,"(10.39, 13.68)","2.31e-184",136860
"OXYCODONE, PANTOPRAZOLE, ZOLEDRONATE",11.91,"(10.46, 13.55)","7.00e-207",136860
"ZOLEDRONATE, DEXAMETHASONE, HYDROCODONE",11.9,"(10.61, 13.31)","1.51e-268",136860
"OXYCODONE, DEXAMETHASONE, GABAPENTIN",11.73,"(10.33, 13.29)","2.47e-217",136860
"ACETAMINOPHEN, ZOLEDRONATE, FENTANYL",11.66,"(10.53, 12.89)","0.00e+00",136860
"OXYCODONE, ACETAMINOPHEN, EPOETIN ALFA",11.57,"(10.1, 13.23)","8.70e-187",136860
"MORPHINE, ACETAMINOPHEN, ZOLEDRONATE",11.52,"(10.29, 12.89)","1.94e-266",136860
"OXYCODONE, CYCLOBENZAPRINE, GABAPENTIN",11.52,"(10.01, 13.22)","7.27e-175",136860
"PANTOPRAZOLE, ACETAMINOPHEN, ZOLEDRONATE",11.51,"(10.17, 13)","9.65e-225",136860
"OXYCODONE, ZOLEDRONATE, FENTANYL",11.48,"(10.25, 12.83)","1.16e-267",136860
