"Drug_name1","Drug_name2","OR","95.CI","Pvalue","ac"
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOVERSETAMIDE","GADOBENATE DIMEGLUMINE",20.31,"(12.98, 33.4)","4.81e-84",362
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOPENTETATE DIMEGLUMINE","GADOBENATE DIMEGLUMINE",19.63,"(12.54, 32.27)","7.43e-82",362
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE, GADOTERIDOL","GADOBENATE DIMEGLUMINE",18.71,"(12.27, 29.79)","8.67e-85",362
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOTERIDOL","GADOBENATE DIMEGLUMINE",17.91,"(11.83, 28.22)","1.48e-83",362
"ZOLEDRONATE, DEXAMETHASONE, GABAPENTIN","DEXAMETHASONE",16.76,"(14.67, 19.12)","7.09e-280",2534
"GADOBENATE DIMEGLUMINE, GADOTERIDOL, GADOVERSETAMIDE","GADOBENATE DIMEGLUMINE",16.18,"(10.9, 24.88)","1.11e-81",362
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE, GADOVERSETAMIDE","GADOBENATE DIMEGLUMINE",16.16,"(10.75, 25.25)","2.61e-78",362
"ZOLEDRONATE, DEXAMETHASONE, DOXORUBICIN","DOXORUBICIN",16.05,"(13.54, 18.98)","3.53e-169",825
"ZOLEDRONATE, DEXAMETHASONE, LEVOFLOXACIN","DEXAMETHASONE",13.34,"(11.59, 15.34)","1.08e-207",2534
"GADOBENATE DIMEGLUMINE, GADOPENTETATE DIMEGLUMINE, GADOTERIDOL","GADOTERIDOL",13.06,"(6.72, 29.02)","1.13e-28",347
"OXYCODONE, PAMIDRONATE, DEXAMETHASONE","DEXAMETHASONE",12.84,"(11.27, 14.61)","2.99e-234",2534
"PAMIDRONATE, THALIDOMIDE, DEXAMETHASONE","THALIDOMIDE",12.67,"(10.58, 15.14)","1.98e-134",645
"PAMIDRONATE, ACETAMINOPHEN, DEXAMETHASONE","DEXAMETHASONE",12.28,"(10.88, 13.85)","7.77e-264",2534
"PAMIDRONATE, THALIDOMIDE, ZOLEDRONATE","THALIDOMIDE",12.24,"(10.24, 14.59)","4.58e-135",645
"ACETAMINOPHEN, ZOLEDRONATE, CELECOXIB","CELECOXIB",12.14,"(10.59, 13.91)","1.91e-209",2493
"LORAZEPAM, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",12.12,"(10.6, 13.83)","4.85e-214",2534
"ZOLEDRONATE, DEXAMETHASONE, HYDROCODONE","DEXAMETHASONE",12.01,"(10.63, 13.56)","1.04e-255",2534
"OXYCODONE, ZOLEDRONATE, LEVOFLOXACIN","OXYCODONE",12.01,"(10.53, 13.71)","5.39e-232",4418
"ZOLEDRONATE, ZOLPIDEM, DEXAMETHASONE","DEXAMETHASONE",11.95,"(10.35, 13.77)","1.88e-183",2534
"PAMIDRONATE, ACETAMINOPHEN, WARFARIN","WARFARIN",11.9,"(10.4, 13.6)","4.23e-211",4188
"PAMIDRONATE, ACETAMINOPHEN, GABAPENTIN","ACETAMINOPHEN",11.86,"(10.44, 13.47)","2.46e-237",10717
"PAMIDRONATE, ZOLEDRONATE, DEXAMETHASONE","DEXAMETHASONE",11.85,"(10.64, 13.18)","0.00e+00",2534
"GADOBENATE DIMEGLUMINE, GADODIAMIDE, GADOTERIDOL","GADOTERIDOL",11.72,"(6.22, 24.88)","8.55e-28",347
"MORPHINE, OXYCODONE, ZOLEDRONATE","MORPHINE",11.59,"(10.2, 13.16)","1.20e-235",2024
"ZOLEDRONATE, FENTANYL, HYDROCODONE","FENTANYL",11.55,"(10.17, 13.1)","1.30e-227",2767
